party_name,investment,levenshtein_score,jaro_winkler_score,average_score
arrow international,atheros communications,0.40909090909090906,0.6558091031775243,0.5324500061342167
arthur andersen llp,archer daniels midland,0.4545454545454546,0.7701222753854332,0.612333864965444
aruba hotel enterprises n,automated data processing,0.36,0.6558333333333334,0.5079166666666667
ashby ex rel ma,ascent media ser a,0.38888888888888884,0.6407407407407407,0.5148148148148148
ashcroft,arch coal,0.33333333333333337,0.6601851851851852,0.4967592592592593
aspen ii holding,ameritrade holding,0.5,0.7350378787878789,0.6175189393939394
asplund,applenew,0.5,0.6904761904761904,0.5952380952380951
associated residential design,associated banc wis,0.48275862068965514,0.8537658802177859,0.6682622504537206
associates lp in re associates lp,associated banc wis,0.4242424242424242,0.8278907496012758,0.62606658692185
assurance of america,a growth fd of america,0.5454545454545454,0.6187645687645688,0.5821095571095571
astacioespino,associated banc,0.4,0.7962393162393162,0.5981196581196582
astellas us employee benefit plan,agere systems ine,0.2727272727272727,0.6900772430184196,0.48140225787284613
astra zeneca lp,astrazeneca azn,0.7333333333333334,0.87,0.8016666666666667
astrue,allstate,0.5,0.75,0.625
at t disability income plan,axa equitable life ins hfe policy,0.4242424242424242,0.6822671156004491,0.5532547699214366
at t wireless,att wireless,0.9230769230769231,0.9572649572649573,0.9401709401709402
atheists of florida,a growth fd of america,0.40909090909090906,0.6301680775364986,0.5196294933137038
atlantic container line ab,american airlines aal,0.42307692307692313,0.6465964590964591,0.5348366910866911
atlantic marine corps communities,atheros communications,0.3939393939393939,0.7640404040404041,0.5789898989898989
attorneys process investigation services,alliance bernstein cap reserve,0.30000000000000004,0.6727777777777778,0.4863888888888889
atx communications,atheros communications,0.7727272727272727,0.830461477520301,0.8015943751237868
aukstolis,arm holdings,0.41666666666666663,0.6574074074074074,0.537037037037037
automobile insurance,autozone,0.35,0.6940476190476191,0.5220238095238096
autoridad de energia electrica,american electric power aep,0.33333333333333337,0.698941798941799,0.5161375661375662
autozone,autozone,1.0,1.0,1.0
aviall long term disability plan,annaly capital mgmt reit nly,0.3125,0.6750992063492064,0.4937996031746032
aviles sierra,applied materials,0.4117647058823529,0.6664990782637842,0.5391318920730686
avilessierra,applera,0.41666666666666663,0.7392857142857143,0.5779761904761904
aw lawrence,avaya lnc,0.36363636363636365,0.6818181818181818,0.5227272727272727
ayala,avaya,0.6,0.76,0.6799999999999999
ayers,agere sys,0.4444444444444444,0.7733333333333333,0.6088888888888888
b b electric,bk america,0.41666666666666663,0.6444444444444445,0.5305555555555556
