person_id,judge_flag,position,status,disclosures_count
392,1,7,judge with multiple positions,14.0
393,2,4,judge with multiple positions,17.0
394,4,7,judge with multiple positions,17.0
395,2,10,judge with multiple positions,
396,1,4,judge with multiple positions,14.0
397,3,7,judge with multiple positions,
398,2,6,judge with multiple positions,1.0
399,2,7,judge with multiple positions,
400,1,9,judge with multiple positions,
401,1,5,judge with multiple positions,8.0
402,1,11,judge with multiple positions,1.0
403,1,8,judge with multiple positions,9.0
404,2,5,judge with multiple positions,18.0
405,4,11,judge with multiple positions,
406,4,6,judge with multiple positions,
407,2,6,judge with multiple positions,
408,2,6,judge with multiple positions,
409,3,6,judge with multiple positions,
410,1,2,judge with multiple positions,6.0
411,4,8,judge with multiple positions,11.0
412,1,4,judge with multiple positions,9.0
413,1,4,judge with multiple positions,10.0
414,1,2,judge with multiple positions,
415,3,5,judge with multiple positions,17.0
416,1,2,judge with multiple positions,
417,2,4,judge with multiple positions,
418,1,3,judge with multiple positions,7.0
419,1,8,judge with multiple positions,8.0
420,1,3,judge with multiple positions,5.0
421,3,9,judge with multiple positions,
422,3,15,judge with multiple positions,13.0
423,1,3,judge with multiple positions,
424,3,5,judge with multiple positions,
425,1,10,judge with multiple positions,10.0
426,1,7,judge with multiple positions,3.0
427,1,7,judge with multiple positions,
428,1,7,judge with multiple positions,8.0
429,1,11,judge with multiple positions,4.0
430,1,6,judge with multiple positions,18.0
431,1,3,judge with multiple positions,3.0
432,1,4,judge with multiple positions,8.0
433,3,7,judge with multiple positions,
434,1,3,judge with multiple positions,
435,1,4,judge with multiple positions,6.0
436,2,3,judge with multiple positions,
437,2,4,judge with multiple positions,
438,1,8,judge with multiple positions,
439,1,1,judge with 1 position,
440,1,4,judge with multiple positions,
441,3,8,judge with multiple positions,16.0
442,1,2,judge with multiple positions,
443,1,2,judge with multiple positions,
444,1,4,judge with multiple positions,
445,2,7,judge with multiple positions,13.0
446,1,5,judge with multiple positions,1.0
447,1,9,judge with multiple positions,16.0
448,5,9,judge with multiple positions,
449,1,2,judge with multiple positions,2.0
450,2,5,judge with multiple positions,18.0
451,5,7,judge with multiple positions,18.0
452,1,10,judge with multiple positions,
453,1,6,judge with multiple positions,13.0
454,2,7,judge with multiple positions,13.0
455,1,3,judge with multiple positions,
456,3,4,judge with multiple positions,
457,1,5,judge with multiple positions,2.0
458,1,9,judge with multiple positions,
459,1,4,judge with multiple positions,13.0
460,2,8,judge with multiple positions,
461,1,3,judge with multiple positions,15.0
462,1,6,judge with multiple positions,
463,2,8,judge with multiple positions,
464,2,6,judge with multiple positions,
465,3,9,judge with multiple positions,3.0
466,1,4,judge with multiple positions,15.0
467,1,4,judge with multiple positions,
468,1,5,judge with multiple positions,
469,4,6,judge with multiple positions,11.0
470,2,8,judge with multiple positions,
471,2,4,judge with multiple positions,16.0
472,1,5,judge with multiple positions,
473,1,3,judge with multiple positions,
474,1,4,judge with multiple positions,
475,2,3,judge with multiple positions,
476,1,8,judge with multiple positions,16.0
477,1,5,judge with multiple positions,6.0
478,1,7,judge with multiple positions,
479,1,10,judge with multiple positions,
480,1,2,judge with multiple positions,17.0
481,2,8,judge with multiple positions,
482,1,4,judge with multiple positions,
483,1,6,judge with multiple positions,6.0
484,1,4,judge with multiple positions,
485,2,3,judge with multiple positions,
486,1,2,judge with multiple positions,
487,4,7,judge with multiple positions,
488,1,9,judge with multiple positions,18.0
489,1,5,judge with multiple positions,13.0
490,1,2,judge with multiple positions,
491,1,5,judge with multiple positions,
492,4,8,judge with multiple positions,
493,1,7,judge with multiple positions,2.0
494,1,12,judge with multiple positions,
495,1,9,judge with multiple positions,7.0
496,2,5,judge with multiple positions,
497,2,7,judge with multiple positions,18.0
498,2,4,judge with multiple positions,14.0
499,1,6,judge with multiple positions,
500,2,7,judge with multiple positions,
501,1,6,judge with multiple positions,
502,2,11,judge with multiple positions,
503,1,4,judge with multiple positions,
504,1,2,judge with multiple positions,
505,2,7,judge with multiple positions,9.0
506,1,5,judge with multiple positions,18.0
507,1,4,judge with multiple positions,
508,4,8,judge with multiple positions,
509,1,8,judge with multiple positions,17.0
510,2,6,judge with multiple positions,13.0
511,2,3,judge with multiple positions,
512,3,9,judge with multiple positions,17.0
513,2,7,judge with multiple positions,
514,2,5,judge with multiple positions,
515,1,3,judge with multiple positions,
516,1,5,judge with multiple positions,7.0
517,1,8,judge with multiple positions,16.0
518,1,4,judge with multiple positions,
519,1,8,judge with multiple positions,
520,1,8,judge with multiple positions,
521,2,10,judge with multiple positions,5.0
522,2,2,judge with multiple positions,
523,1,5,judge with multiple positions,
524,1,4,judge with multiple positions,18.0
525,1,8,judge with multiple positions,13.0
526,1,6,judge with multiple positions,
527,2,5,judge with multiple positions,
528,2,12,judge with multiple positions,18.0
529,2,14,judge with multiple positions,
530,1,8,judge with multiple positions,
531,2,5,judge with multiple positions,
532,1,13,judge with multiple positions,7.0
533,2,5,judge with multiple positions,15.0
534,2,5,judge with multiple positions,5.0
535,6,11,judge with multiple positions,18.0
536,5,8,judge with multiple positions,
537,4,7,judge with multiple positions,
538,1,5,judge with multiple positions,5.0
539,1,3,judge with multiple positions,18.0
540,2,8,judge with multiple positions,15.0
541,3,4,judge with multiple positions,18.0
542,1,11,judge with multiple positions,10.0
543,2,4,judge with multiple positions,
544,1,4,judge with multiple positions,
545,2,10,judge with multiple positions,
546,1,5,judge with multiple positions,
547,1,8,judge with multiple positions,14.0
548,2,4,judge with multiple positions,
549,3,11,judge with multiple positions,
550,1,5,judge with multiple positions,5.0
551,2,9,judge with multiple positions,
552,2,9,judge with multiple positions,9.0
553,6,9,judge with multiple positions,16.0
554,3,8,judge with multiple positions,6.0
555,2,8,judge with multiple positions,
556,1,5,judge with multiple positions,
557,1,10,judge with multiple positions,6.0
558,1,8,judge with multiple positions,
559,1,6,judge with multiple positions,13.0
560,2,11,judge with multiple positions,
561,1,5,judge with multiple positions,2.0
562,2,8,judge with multiple positions,
563,1,6,judge with multiple positions,10.0
564,1,7,judge with multiple positions,3.0
565,2,6,judge with multiple positions,
566,1,4,judge with multiple positions,13.0
567,1,3,judge with multiple positions,18.0
568,1,6,judge with multiple positions,15.0
569,2,9,judge with multiple positions,
570,2,8,judge with multiple positions,
571,1,11,judge with multiple positions,
572,2,6,judge with multiple positions,14.0
573,1,1,judge with 1 position,
574,2,6,judge with multiple positions,10.0
575,3,4,judge with multiple positions,11.0
576,2,4,judge with multiple positions,9.0
577,1,2,judge with multiple positions,
578,4,8,judge with multiple positions,
579,1,10,judge with multiple positions,12.0
580,1,6,judge with multiple positions,
581,3,9,judge with multiple positions,17.0
582,3,5,judge with multiple positions,15.0
583,1,7,judge with multiple positions,15.0
584,1,4,judge with multiple positions,
585,1,5,judge with multiple positions,17.0
586,1,3,judge with multiple positions,
587,1,5,judge with multiple positions,10.0
588,2,6,judge with multiple positions,
589,3,4,judge with multiple positions,10.0
590,1,6,judge with multiple positions,18.0
591,3,6,judge with multiple positions,
592,1,6,judge with multiple positions,
593,3,10,judge with multiple positions,
594,1,3,judge with multiple positions,
595,1,6,judge with multiple positions,16.0
596,2,7,judge with multiple positions,10.0
597,1,11,judge with multiple positions,8.0
598,1,6,judge with multiple positions,8.0
599,1,7,judge with multiple positions,
600,1,11,judge with multiple positions,1.0
601,1,5,judge with multiple positions,18.0
602,5,11,judge with multiple positions,18.0
603,1,4,judge with multiple positions,
604,1,13,judge with multiple positions,6.0
605,3,6,judge with multiple positions,9.0
606,1,8,judge with multiple positions,
607,2,7,judge with multiple positions,11.0
608,5,20,judge with multiple positions,
609,1,5,judge with multiple positions,
610,1,5,judge with multiple positions,
611,2,8,judge with multiple positions,
612,1,4,judge with multiple positions,
613,4,8,judge with multiple positions,9.0
614,1,8,judge with multiple positions,
615,1,6,judge with multiple positions,
616,1,3,judge with multiple positions,8.0
617,3,4,judge with multiple positions,
618,1,10,judge with multiple positions,7.0
619,2,4,judge with multiple positions,
620,1,8,judge with multiple positions,7.0
621,1,11,judge with multiple positions,
622,2,7,judge with multiple positions,
623,2,6,judge with multiple positions,
624,1,7,judge with multiple positions,
625,1,2,judge with multiple positions,
626,1,10,judge with multiple positions,
627,1,5,judge with multiple positions,
628,1,5,judge with multiple positions,
629,2,5,judge with multiple positions,
630,2,8,judge with multiple positions,
631,2,8,judge with multiple positions,
632,1,10,judge with multiple positions,
633,1,6,judge with multiple positions,17.0
634,1,3,judge with multiple positions,
635,2,2,judge with multiple positions,
636,1,12,judge with multiple positions,
637,3,7,judge with multiple positions,
638,2,5,judge with multiple positions,
639,1,2,judge with multiple positions,
640,4,6,judge with multiple positions,
641,1,2,judge with multiple positions,
642,1,3,judge with multiple positions,17.0
643,1,6,judge with multiple positions,
644,3,8,judge with multiple positions,
645,2,8,judge with multiple positions,
646,1,7,judge with multiple positions,15.0
647,2,4,judge with multiple positions,15.0
648,1,3,judge with multiple positions,5.0
649,1,4,judge with multiple positions,18.0
650,3,7,judge with multiple positions,13.0
651,2,3,judge with multiple positions,
652,1,4,judge with multiple positions,
653,1,10,judge with multiple positions,
654,1,5,judge with multiple positions,17.0
655,1,3,judge with multiple positions,
656,2,10,judge with multiple positions,7.0
657,1,6,judge with multiple positions,1.0
658,1,2,judge with multiple positions,
659,1,8,judge with multiple positions,
660,9,13,judge with multiple positions,9.0
661,1,10,judge with multiple positions,3.0
662,2,4,judge with multiple positions,9.0
663,1,5,judge with multiple positions,
664,1,3,judge with multiple positions,16.0
665,2,7,judge with multiple positions,10.0
666,2,12,judge with multiple positions,6.0
667,4,9,judge with multiple positions,
668,3,5,judge with multiple positions,13.0
669,1,3,judge with multiple positions,17.0
670,2,8,judge with multiple positions,17.0
671,1,11,judge with multiple positions,
672,2,6,judge with multiple positions,18.0
673,2,8,judge with multiple positions,
674,1,5,judge with multiple positions,
675,4,14,judge with multiple positions,
676,3,6,judge with multiple positions,10.0
677,1,5,judge with multiple positions,
678,4,10,judge with multiple positions,
679,1,4,judge with multiple positions,18.0
680,2,4,judge with multiple positions,18.0
681,2,9,judge with multiple positions,11.0
682,1,11,judge with multiple positions,
683,3,8,judge with multiple positions,17.0
684,2,5,judge with multiple positions,
685,3,8,judge with multiple positions,
686,1,9,judge with multiple positions,18.0
687,1,5,judge with multiple positions,16.0
688,3,7,judge with multiple positions,
689,2,10,judge with multiple positions,
690,1,4,judge with multiple positions,
691,3,8,judge with multiple positions,15.0
692,1,7,judge with multiple positions,
693,1,4,judge with multiple positions,
694,2,5,judge with multiple positions,
695,1,10,judge with multiple positions,
696,1,3,judge with multiple positions,10.0
697,1,13,judge with multiple positions,10.0
698,1,5,judge with multiple positions,11.0
699,1,4,judge with multiple positions,
700,2,6,judge with multiple positions,
701,1,3,judge with multiple positions,18.0
702,1,3,judge with multiple positions,6.0
703,1,5,judge with multiple positions,
704,2,8,judge with multiple positions,
705,1,5,judge with multiple positions,17.0
706,1,4,judge with multiple positions,17.0
707,1,6,judge with multiple positions,10.0
708,2,5,judge with multiple positions,11.0
709,3,7,judge with multiple positions,
710,1,6,judge with multiple positions,9.0
711,1,3,judge with multiple positions,18.0
712,2,10,judge with multiple positions,9.0
713,2,6,judge with multiple positions,18.0
714,5,8,judge with multiple positions,17.0
715,2,12,judge with multiple positions,4.0
716,1,6,judge with multiple positions,9.0
717,1,12,judge with multiple positions,18.0
718,3,6,judge with multiple positions,
719,1,5,judge with multiple positions,7.0
720,7,11,judge with multiple positions,17.0
721,4,10,judge with multiple positions,6.0
722,1,6,judge with multiple positions,
723,1,7,judge with multiple positions,
724,1,4,judge with multiple positions,15.0
725,2,8,judge with multiple positions,17.0
726,1,5,judge with multiple positions,
727,1,9,judge with multiple positions,
728,3,6,judge with multiple positions,
729,2,6,judge with multiple positions,10.0
