person_id,judge_flag,position,status,disclosures_count,name_first,name_middle,name_last,political_affiliations,race,date_nominated,date_start,date_termination,court_short_name,court_full_name
14005,1,1,judge with 1 position,,Andrew,E.,Cooper,r,w,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14006,1,1,judge with 1 position,,Ann,H.,Park,,a,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14007,1,1,judge with 1 position,,Carol,Jane,Najera,r,h,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14008,1,1,judge with 1 position,,Carol,Lynn,Rose,,w,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14009,1,1,judge with 1 position,,Christopher,John,Frisco,d,w,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14010,1,1,judge with 1 position,,Donna,Lynn,Hollingsworth Armstrong,,w,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14011,1,1,judge with 1 position,,Joan,Marie,Chrostek,r,w,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14012,1,1,judge with 1 position,,Serena,Raquel,Murillo,,h,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14013,1,1,judge with 1 position,,Stacy,,Wiese,,w,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14014,1,1,judge with 1 position,,Shannon,,Knight,,w,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14015,1,1,judge with 1 position,,Teresa,Pineda,Magno,,a,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14016,1,1,judge with 1 position,,Thomas,Jesus,Griego,,h,,2015-01-05,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14017,1,1,judge with 1 position,,Andrew,G.,Liu,,a,,2015-01-05,,"California Superior Court, Monterey County","Superior Court of California, County of Monterey"
