person_id,name_first,name_middle,name_last,political_affiliations,race,position_url,position_type,job_title,sector,organization,date_nominated,date_start,date_termination,court_resource_url,court_id,court_short_name,court_full_name,court_url
16049,Cheryl,C.,Lee-Shannon,d,b,https://www.courtlistener.com/api/rest/v4/positions/51882/,pres-jud,,2,,,2011-01-01,2014-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct306/,texdistct306,Tex. 305th Jud. Dist. Ct.,Texas 305th Judicial District Court,http://www.dallascounty.org/government/courts/juvenile/305th/
16049,Cheryl,C.,Lee-Shannon,d,b,https://www.courtlistener.com/api/rest/v4/positions/51881/,pres-jud,,2,,,2007-01-01,2010-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct306/,texdistct306,Tex. 305th Jud. Dist. Ct.,Texas 305th Judicial District Court,http://www.dallascounty.org/government/courts/juvenile/305th/
16049,Cheryl,C.,Lee-Shannon,d,b,https://www.courtlistener.com/api/rest/v4/positions/51880/,pres-jud,,2,,,2003-01-01,2006-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct206/,texdistct206,Tex. 205th Jud. Dist. Ct.,Texas 205th Judicial District Court,http://www.epcounty.com/courts/directory.htm
16049,Cheryl,C.,Lee-Shannon,d,b,https://www.courtlistener.com/api/rest/v4/positions/51879/,pres-jud,,2,,,1999-01-01,2002-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct306/,texdistct306,Tex. 305th Jud. Dist. Ct.,Texas 305th Judicial District Court,http://www.dallascounty.org/government/courts/juvenile/305th/
16049,Cheryl,C.,Lee-Shannon,d,b,https://www.courtlistener.com/api/rest/v4/positions/51878/,pres-jud,,2,,,1995-01-01,1998-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct306/,texdistct306,Tex. 305th Jud. Dist. Ct.,Texas 305th Judicial District Court,http://www.dallascounty.org/government/courts/juvenile/305th/
16048,Brody,Young,Shanklin,r,w,https://www.courtlistener.com/api/rest/v4/positions/51877/,prac,,1,"Harris Cook, L.L.P.",,2007-04-01,2014-12-01,,,,,
16048,Brody,Young,Shanklin,r,w,https://www.courtlistener.com/api/rest/v4/positions/51876/,prac,,1,"Chris Harris & Associates, P.C.",,2000-01-01,2001-02-01,,,,,
16048,Brody,Young,Shanklin,r,w,https://www.courtlistener.com/api/rest/v4/positions/51875/,,Police Officer,2,Fort Worth Police Department,,1995-04-01,1999-12-01,,,,,
16048,Brody,Young,Shanklin,r,w,https://www.courtlistener.com/api/rest/v4/positions/51874/,adj-prof,,2,,,2012-08-01,,,,,,
16048,Brody,Young,Shanklin,r,w,https://www.courtlistener.com/api/rest/v4/positions/51873/,ada,,2,Denton County District Attorney's Office,,2001-02-01,2007-03-01,,,,,
16048,Brody,Young,Shanklin,r,w,https://www.courtlistener.com/api/rest/v4/positions/51872/,pres-jud,,2,,,2019-01-01,2022-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct212/,texdistct212,Tex. 211th Jud. Dist. Ct.,Texas 211th Judicial District Court,https://www.dentoncounty.gov/532/211th-District-Court
16048,Brody,Young,Shanklin,r,w,https://www.courtlistener.com/api/rest/v4/positions/51871/,pres-jud,,2,,,2015-01-01,2018-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct212/,texdistct212,Tex. 211th Jud. Dist. Ct.,Texas 211th Judicial District Court,https://www.dentoncounty.gov/532/211th-District-Court
16047,Cory,Don,Sepolio,d,w,https://www.courtlistener.com/api/rest/v4/positions/51870/,prac,,1,Fanaff & Baldwin,,2010-05-01,2018-01-01,,,,,
16047,Cory,Don,Sepolio,d,w,https://www.courtlistener.com/api/rest/v4/positions/51869/,ada,,2,Harris County District Attorney's Office,,2005-02-01,2008-08-01,,,,,
16047,Cory,Don,Sepolio,d,w,https://www.courtlistener.com/api/rest/v4/positions/51868/,pres-jud,,1,,,2019-01-01,2022-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct270/,texdistct270,Tex. 269th Jud. Dist. Ct.,Texas 269th Judicial District Court,http://www.justex.net/
16045,Patrick,Edward,Sebesta,r,w,https://www.courtlistener.com/api/rest/v4/positions/51867/,prac,,1,Private Practice,,1994-01-01,1999-01-01,,,,,
16045,Patrick,Edward,Sebesta,r,w,https://www.courtlistener.com/api/rest/v4/positions/51866/,jud,,2,"Texas County Courts at Law, Brazona County Court at Law",,1999-01-01,2002-12-01,,,,,
16045,Patrick,Edward,Sebesta,r,w,https://www.courtlistener.com/api/rest/v4/positions/51865/,pres-jud,,2,,,2019-01-01,2022-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct240/,texdistct240,Tex. 239th Jud. Dist. Ct.,Texas 239th Judicial District Court,https://brazoriacountytx.gov/departments/all-courts/district-court/239th-district-court
16045,Patrick,Edward,Sebesta,r,w,https://www.courtlistener.com/api/rest/v4/positions/51864/,pres-jud,,2,,,2015-01-01,2018-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct240/,texdistct240,Tex. 239th Jud. Dist. Ct.,Texas 239th Judicial District Court,https://brazoriacountytx.gov/departments/all-courts/district-court/239th-district-court
16045,Patrick,Edward,Sebesta,r,w,https://www.courtlistener.com/api/rest/v4/positions/51863/,pres-jud,,2,,,2011-01-01,2014-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct240/,texdistct240,Tex. 239th Jud. Dist. Ct.,Texas 239th Judicial District Court,https://brazoriacountytx.gov/departments/all-courts/district-court/239th-district-court
16045,Patrick,Edward,Sebesta,r,w,https://www.courtlistener.com/api/rest/v4/positions/51862/,pres-jud,,2,,,2007-01-01,2010-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct240/,texdistct240,Tex. 239th Jud. Dist. Ct.,Texas 239th Judicial District Court,https://brazoriacountytx.gov/departments/all-courts/district-court/239th-district-court
16045,Patrick,Edward,Sebesta,r,w,https://www.courtlistener.com/api/rest/v4/positions/51861/,pres-jud,,2,,,2003-01-01,2006-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct240/,texdistct240,Tex. 239th Jud. Dist. Ct.,Texas 239th Judicial District Court,https://brazoriacountytx.gov/departments/all-courts/district-court/239th-district-court
16042,Frederick,Christopher,Schneider,r,w,https://www.courtlistener.com/api/rest/v4/positions/51860/,,Servicemember,2,U.S. Army,,,,,,,,
16042,Frederick,Christopher,Schneider,r,w,https://www.courtlistener.com/api/rest/v4/positions/51859/,,Associate General Counsel,2,Texas Department of Savings and Mortgage Lending,,2007-01-01,2016-12-01,,,,,
16042,Frederick,Christopher,Schneider,r,w,https://www.courtlistener.com/api/rest/v4/positions/51858/,da,,2,Caldwell County,,,,,,,,
16042,Frederick,Christopher,Schneider,r,w,https://www.courtlistener.com/api/rest/v4/positions/51857/,ad-law-jud,,2,Caldwell County Courts,,2020-01-01,,,,,,
16042,Frederick,Christopher,Schneider,r,w,https://www.courtlistener.com/api/rest/v4/positions/51856/,pres-jud,,2,,,2021-01-01,2024-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct422/,texdistct422,Tex. 421st Jud. Dist. Ct.,Texas 421st Judicial District Court,http://www.co.caldwell.tx.us/default.aspx?Caldwell_County/421st
16042,Frederick,Christopher,Schneider,r,w,https://www.courtlistener.com/api/rest/v4/positions/51855/,pres-jud,,2,,,2017-01-01,2020-12-31,https://www.courtlistener.com/api/rest/v4/courts/texdistct422/,texdistct422,Tex. 421st Jud. Dist. Ct.,Texas 421st Judicial District Court,http://www.co.caldwell.tx.us/default.aspx?Caldwell_County/421st
16041,David,J.,Schenke,r,w,https://www.courtlistener.com/api/rest/v4/positions/51854/,clerk,,2,,,,,https://www.courtlistener.com/api/rest/v4/courts/ca5/,ca5,Fifth Circuit,Court of Appeals for the Fifth Circuit,http://www.ca5.uscourts.gov/
16041,David,J.,Schenke,r,w,https://www.courtlistener.com/api/rest/v4/positions/51853/,,Partner,1,Hughes & Luce,,1993-01-01,1994-01-01,,,,,
16041,David,J.,Schenke,r,w,https://www.courtlistener.com/api/rest/v4/positions/51852/,prac,,1,Dykema Gossett,,2012-05-01,2015-01-01,,,,,
16041,David,J.,Schenke,r,w,https://www.courtlistener.com/api/rest/v4/positions/51851/,,Partner,1,Jones Day,,2004-01-01,2010-08-01,,,,,
16041,David,J.,Schenke,r,w,https://www.courtlistener.com/api/rest/v4/positions/51850/,adj-prof,,2,University of North Texas,,2015-08-01,,,,,,
16041,David,J.,Schenke,r,w,https://www.courtlistener.com/api/rest/v4/positions/51849/,adj-prof,,,,,,,,,,,
16041,David,J.,Schenke,r,w,https://www.courtlistener.com/api/rest/v4/positions/51848/,,Deputy Attorney General for Legal Counsel,2,Texas Attorney General,,2010-08-01,2012-05-01,,,,,
