id,name_first,name_middle,name_last,position
16159,Christine,V.,Weems,https://www.courtlistener.com/api/rest/v3/positions/52375/
16159,Christine,V.,Weems,https://www.courtlistener.com/api/rest/v3/positions/52376/
16158,Jay,K.,Weatherby,https://www.courtlistener.com/api/rest/v3/positions/52368/
16158,Jay,K.,Weatherby,https://www.courtlistener.com/api/rest/v3/positions/52369/
16158,Jay,K.,Weatherby,https://www.courtlistener.com/api/rest/v3/positions/52370/
16158,Jay,K.,Weatherby,https://www.courtlistener.com/api/rest/v3/positions/52371/
16158,Jay,K.,Weatherby,https://www.courtlistener.com/api/rest/v3/positions/52372/
16158,Jay,K.,Weatherby,https://www.courtlistener.com/api/rest/v3/positions/52373/
16157,Sandra,L.,Watts,https://www.courtlistener.com/api/rest/v3/positions/52361/
16157,Sandra,L.,Watts,https://www.courtlistener.com/api/rest/v3/positions/52362/
16157,Sandra,L.,Watts,https://www.courtlistener.com/api/rest/v3/positions/52364/
16157,Sandra,L.,Watts,https://www.courtlistener.com/api/rest/v3/positions/52365/
16157,Sandra,L.,Watts,https://www.courtlistener.com/api/rest/v3/positions/52366/
16157,Sandra,L.,Watts,https://www.courtlistener.com/api/rest/v3/positions/52367/
16157,Sandra,L.,Watts,https://www.courtlistener.com/api/rest/v3/positions/52363/
16156,Beth,,Watkins,https://www.courtlistener.com/api/rest/v3/positions/52356/
16156,Beth,,Watkins,https://www.courtlistener.com/api/rest/v3/positions/52357/
16156,Beth,,Watkins,https://www.courtlistener.com/api/rest/v3/positions/52358/
16156,Beth,,Watkins,https://www.courtlistener.com/api/rest/v3/positions/52359/
16156,Beth,,Watkins,https://www.courtlistener.com/api/rest/v3/positions/52360/
16155,Brian,E.,Warren,https://www.courtlistener.com/api/rest/v3/positions/52352/
16155,Brian,E.,Warren,https://www.courtlistener.com/api/rest/v3/positions/52353/
16155,Brian,E.,Warren,https://www.courtlistener.com/api/rest/v3/positions/52354/
16155,Brian,E.,Warren,https://www.courtlistener.com/api/rest/v3/positions/52355/
16153,Wayne,Kent,Walston,https://www.courtlistener.com/api/rest/v3/positions/52351/
16153,Wayne,Kent,Walston,https://www.courtlistener.com/api/rest/v3/positions/52343/
16153,Wayne,Kent,Walston,https://www.courtlistener.com/api/rest/v3/positions/52344/
16153,Wayne,Kent,Walston,https://www.courtlistener.com/api/rest/v3/positions/52345/
16153,Wayne,Kent,Walston,https://www.courtlistener.com/api/rest/v3/positions/52346/
16153,Wayne,Kent,Walston,https://www.courtlistener.com/api/rest/v3/positions/52347/
16153,Wayne,Kent,Walston,https://www.courtlistener.com/api/rest/v3/positions/52348/
16153,Wayne,Kent,Walston,https://www.courtlistener.com/api/rest/v3/positions/52349/
